id;user;item;answer;correct;moves;responseTime;time
1;5622;1;def numbers(n):break    print(n)break;0;-1;4750;2017-11-21 18:33:24
2;5622;1;def numbers(n):break    print(n)break;0;-1;34700;2017-11-21 18:43:09
3;12;1;def numbers(n):break    print(n)break;0;-1;6400;2017-11-21 19:50:17
4;12;1;def numbers(n):break    print(n)break;0;-1;9500;2017-11-21 19:50:20
5;12;1;def numbers(n):break    print(1)break    print(2)break    print(3)break;0;-1;42150;2017-11-21 19:50:53
6;12;1;def numbers(n):break    for i in range(n):break        print(i+1)break;1;-1;62650;2017-11-21 19:51:13
11;12;3;def factorial(n):break    f = 1break    for i in range(n):break        f = f*ibreak    return fbreak;0;-1;143300;2017-11-21 20:08:41
12;12;3;def factorial(n):break    f = 1break    for i in range(n):break        f = f*(i+1)break    return fbreak;1;-1;191000;2017-11-21 20:09:29
13;12;2;def fibonacci(n):break    for i in range(n):break    	print(i)break;0;-1;4600;2017-11-21 20:10:48
14;12;2;def fibonacci(n):break    a, b = 1, 1break    for i in range(n):    	break        print(a)break        a, b = b, a+b        break;1;-1;65950;2017-11-21 20:11:50
15;12;7;def divisors(n):break    for i in range(1, n+1):break        if n%i == 0:break    		print(i, " ")break;0;-1;94750;2017-11-21 20:13:34
16;12;5;def duplication(text):break    o = ""break    for l in text:break        o += l + lbreak    return obreak;1;-1;22950;2017-11-21 20:23:19
17;5622;1;def numbers(n):break    print(n)break;0;-1;3550;2017-11-21 22:04:03
72;5622;1;def numbers(n):break    print(n)break;0;-1;8150;2017-11-22 19:37:48
73;5622;1;def numbers(n):break    print(n)break;0;-1;2650;2017-11-22 19:38:02
74;12;17;def five_multiples(num_list):break    out = []break    for x in num_list:break        if x % 5 == 0: break            out.append(x)break    return outbreak;1;-1;33200;2017-11-22 20:11:10
75;12;16;def max_pair_sum(num_list):break    return 0break;0;-1;3050;2017-11-22 20:11:23
76;12;16;def max_pair_sum(num_list):break    for i in range(len(num_list)):break        print(i)break    return 0break;0;-1;40800;2017-11-22 20:12:01
77;5622;4;def alphabet(n):break    for i in range(n):break        print('A')break;0;-1;36400;2017-11-22 20:22:18
78;5622;4;def alphabet(n):break    for i in range(n):break        print('A')break;0;-1;40100;2017-11-22 20:22:22
79;5622;4;def alphabet(n):break    for i in range(n):break        print('A')break;0;-1;41350;2017-11-22 20:22:23
80;5622;4;def alphabet(n):break    for i in range(n):break        print('A')break;0;-1;42550;2017-11-22 20:22:25
