id;parent;alternativeParents;prereq;alternativeName;name;nameMenu;title;description;ogimage;url;image;visible;ordering
1;19;;;;Proměnné a výrazy;;;;;programovani-promenne-a-vyrazy;;1;1
2;1;;;;Proměnné a číselné výrazy;;;;;programovani-promenne-a-ciselne-vyrazy;;1;0
4;11;;;;Cyklus for;;;;;programovani-cyklus-for;;1;0
5;11;;;;Cyklus while;;;;;programovani-cyklus-while;;1;0
6;0;;;;Robotanik;;;;;programovani-robotanik;;1;10
11;19;;;;Řízení výpočtu;;;;;programovani-rizeni-vypoctu;;1;2
12;11;;;;Vnořené cykly;;;;;programovani-vnorene-cykly;;1;0
13;19;;;;Datové struktury;;;;;programovani-datove-struktury;;1;3
14;13;;;;Řetězce;;;;;programovani-retezce;;1;0
15;13;;;;Seznamy;;;;;programovani-seznamy;;1;0
16;11;;;;Funkce;;;;;programovani-funkce;;1;0
17;11;;;;Řízení výpočtu: mix;;;;;programovani-rizeni-vypoctu-mix;;1;0
18;1;;;;Logické výrazy;;;;;programovani-logicke-vyrazy;;1;0
19;0;;;;Programování v Pythonu;;;;;programovani-programovani-v-pythonu;;1;0
20;1;;;;Proměnné a výrazy: mix;;;;;programovani-promenne-a-vyrazy-mix;;1;0
21;0;;;;Binární křížovka;;;;;programovani-binarni-krizovka;;1;0
22;0;;;;Sudoku;;;;;programovani-sudoku;;1;0
23;11;;;;Podmíněný příkaz (if);;;;;programovani-podmineny-prikaz-if;;1;-1
24;13;;;;Slovníky;;;;;programovani-slovniky;;1;0
25;0;;;;Želví grafika;;;;;programovani-zelvi-grafika;;1;0
26;0;;;;Šipkovaná;;;;;programovani-sipkovana;;1;0
27;13;;;;Objekty;;;;;programovani-objekty;;1;0
28;0;;;;Programátorská úkolovka;;;;;cviceni-programatorska-ukolovka;;1;0
29;0;;;;Tabulky;;;;;cviceni-tabulky;;1;0
32;13;;;;Datové struktury: mix;;;;;;;1;0
33;0;;;;Regulární výrazy;;;;;;;1;0
34;0;;;;Roboarena;;;;;;;1;0
35;33;;;;Základní vyhledávání;;;;;cviceni-regularni-vyrazy-vyhledavani;;1;1
36;33;;;;Skupiny znaků;;;;;cviceni-regularni-vyrazy-skupiny-znaku;;1;2
37;33;;;;Kvantifikátory;;;;;cviceni-regularni-vyrazy-kvantifikatory;;1;3
38;33;;;;Hranice;;;;;cviceni-regularni-vyrazy-hranice;;1;4
39;33;;;;Regulární výrazy: mix;;;;;cviceni-regularni-vyrazy-mix;;1;6
40;33;;;;Nahrazování;;;;;cviceni-regularni-vyrazy-nahrazovani;;1;5
