id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
1;2;1;26;basic;0;;;86;18,50;18;medalBased;1;10;;[[["text", "Co znamená v Pythonu operace 'x / y'?"]],[["text", "Co vypíše program?"],["python64","eCA9IDMKeCA9IDIKcHJpbnQoeCArIHgpCg=="]],[["text", "Co vypíše program?"],["python64","eCA9IDEzCnggPSB4ICsgNQpwcmludCh4KQo="]]];rozhodovacka-promenne-vyrazy;;1;0
2;4;1;26;basic;0;;;87;52,11,12,33,105,51;52;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","Zm9yIGkgaW4gcmFuZ2UoNCk6CiAgICBwcmludChpKQo="]],[["text", "Co vypíše program?"],["python64","cHJpbnQoIkEiKQpmb3IgaSBpbiByYW5nZSgzKToKICAgIHByaW50KCJCIikKcHJpbnQoIkMiKQo="]],[["text", "Co vypíše program?"],["python64","YSA9IDAKZm9yIGkgaW4gcmFuZ2UoNSk6CiAgICBhID0gYSArIDEKcHJpbnQoYSkK"]]];rozhodovacka-cyklus-for;;1;0
3;5;1;26;basic;0;;;87;52,11,12,33,105,51;;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","eCA9IDQKd2hpbGUgeCA+IDA6CiAgICBwcmludCh4KQogICAgeCA9IHggLSAxCg=="]],[["text", "Co vypíše program?"],["python64","aSA9IDAKd2hpbGUgaSA8IDIwOgogICAgaSA9IGkgKyA1CnByaW50KGkpCg=="]],[["text", "Co vypíše program?"],["python64","YSA9IDEKYiA9IDYKd2hpbGUgYSA8IGI6CiAgICBwcmludChhLCBiKQogICAgYSA9IGEgKyAxCiAgICBiID0gYiAtIDEK"]]];rozhodovacka-cyklus-while;;1;0
4;6;1;34;basic;0;;28;;28,42,43,44,46,62,65;;medalBased;1;5;Lehké;;robotanik-lehke;;1;0
5;6;1;34;basic;0;;28;;44,46,47,53,65,69,76,108;;medalBased;1;7;Středně těžké;;robotanik-stredni;;1;0
6;6;1;34;basic;0;;28;;7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,53,59,60,61,63,67,72,73,74,76,77,78,79,80,105,106,107,108,111,112,115,116,117,119;;medalBased;1;9;Těžké;;robotanik-tezke;;1;0
7;6;1;34;basic;0;;28;;6,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Opravdová výzva;;robotanik-opravdova-vyzva;;1;0
9;15;1;35;basic;0;;10;;6,7,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-seznamy;;1;10
10;14;1;35;basic;0;;11;9;6,7,9,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-retezce;;1;8
11;12;1;35;basic;0;;12;10;6,7,9,10,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Textové obrázky;;interaktivni-python-vnorene-cykly;;1;7
12;17;1;35;basic;0;;33;11;6,7,9,10,11,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Počítání s čísly;;interaktivni-python-rizeni-vypoctu;;1;6
13;15;1;26;basic;0;;;15,88;15,10,106,9,107;9,107;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","bXlsaXN0ID0gWzEsIDIsIDRdCnByaW50KG15bGlzdFsxXSkK"]],[["text", "Kterým z následujících příkazů zjistíme velikost seznamu mylist?"]],[["text", "Co vypíše program?"],["python64","bXlsaXN0ID0gWzUsIDEsIDddCnByaW50KG15bGlzdFszXSkK"]]];rozhodovacka-seznamy-1-uroven;;1;0
14;18;1;26;basic;0;;;86;18,50;;medalBased;1;9;;[[["text", "Co vypíše program?"],["python64","eCA9IDcKdCA9ICJwZXMiCmEgPSAoeCA+IDEwKSBvciBub3QgKHQgPT0gInByYXNlIikKcHJpbnQoYSkK"]],[["text", "Jak v Pythonu zapisujeme logickou spojku 'negace'?"]],[["text", "Co vypíše program?"],["python64","YSA9IFRydWUgYW5kIEZhbHNlCnByaW50KGEpCg=="]]];rozhodovacka-logicke-1-uroven;;1;0
15;15;1;26;basic;0;;13;;13,10,106,9,107;;medalBased;2;10;;[[["text", "Co vypíše program?"],["python64","bXlsaXN0ID0gW1s4LCAzLCAxXSwgWzQsIDUsIDddXQpwcmludChsZW4obXlsaXN0KSkK"]],[["text", "Co vypíše program?"],["python64","bXlsaXN0ID0gWzgsIDcsIDYsIDMsIDJdCnByaW50KG15bGlzdFs6M10pCg=="]],[["text", "Co vypíše program?"],["python64","bXlsaXN0ID0gWyd4JywgJ2EnLCAnYycsICdlJywgJ3knXQpwcmludChteWxpc3RbMjpdKQo="]]];rozhodovacka-seznamy-2-uroven;;1;0
16;16;1;26;basic;0;;;87;52,11,12,33,105,51;;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","ZGVmIHRlc3QoeCk6CiAgICB4ID0geCArIDEKICAgIHByaW50KHgpCiAgICB4ID0geCArIDEKICAgIHJldHVybiB4CgphID0gdGVzdCgxMCkKcHJpbnQoYSkK"]],[["text", "Co vypíše program?"],["python64","ZGVmIHRlc3QoeCwgeSk6CiAgICBwcmludCh4LCB5KQoKdGVzdCg4LCA0KQo="]],[["text", "Co vypíše program?"],["python64","ZGVmIHRlc3QoYSwgYik6CiAgICBjID0gYSAqIGIgKyAxMAogICAgcmV0dXJuIGMKCnggPSAyCnkgPSAzCnogPSB0ZXN0KHgsIHkpCnByaW50KHopCg=="]]];rozhodovacka-funkce-1-uroven;;1;0
17;14;1;26;basic;0;;;88;10,106,9,107;10,106;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","dGV4dCA9ICJwcmFzZSIKcHJpbnQodGV4dFsxXSkK"]],[["text", "Co vypíše program?"],["python64","dGV4dCA9ICJqZWxlbiIKcHJpbnQodGV4dFsyXSkK"]],[["text", "Co vypíše program?"],["python64","dGV4dCA9ICJzbG9uIgpwcmludCh0ZXh0WzBdKQo="]]];rozhodovacka-retezce-1-uroven;;1;0
18;2;1;35;basic;0;;;50;6,7,9,10,11,12,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-promenne-vyrazy;;1;0
19;21;1;36;basic;0;;30;67;6,7,9,10,11,12,18,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Binární čísla;;binarni-krizovka-binarni-cisla;;1;2
20;21;1;36;basic;0;;67;21;6,7,9,10,11,12,18,19,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Křížovky: středně těžké;;binarni-krizovka-stredne-tezke;;1;4
21;21;1;36;basic;0;;20;23;6,7,9,10,11,12,18,19,20,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Křížovky: těžké;;binarni-krizovka-tezke;;1;6
23;21;1;36;basic;0;;21;;6,7,9,10,11,12,18,19,20,21,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Křížovky: opravdová výzva;;binarni-krizovka-opravdova-vyzva;;1;10
25;22;1;37;basic;0;;26,27,28,43,42,4,29,44;26,27,28,43,42,4,29,44;;;medalBased;1;0;Lehké;;sudoku-lehke;;1;0
26;22;1;37;basic;0;;25,27,28,43,42,4,29,44;25,27,28,43,42,4,29,44;;;medalBased;1;0;Středně těžké;;sudoku-stredni;;1;0
27;22;1;37;basic;0;;25,26,28,43,42,4,29,44;25,26,28,43,42,4,29,44;;;medalBased;1;0;Těžké;;sudoku-tezke;;1;0
28;6;1;34;basic;1;;;4;4,42,43,44,46,62,65;;medalBased;1;5;Trénink;;robotanik-trenink;;1;-1
29;21;1;36;basic;1;;;30;6,7,9,10,11,12,18,19,20,21,23,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Trénink;;binarni-krizovka-trenink;;1;-1
30;21;1;36;basic;0;;29;19;6,7,9,10,11,12,18,19,20,21,23,29,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Logické výrazy;;binarni-krizovka-logicke;;1;1
31;23;1;26;basic;0;;;87;52,11,12,33,105,51;51;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKaWYgYSA8IDQ6CiAgICBiID0gYiArIDEKZWxzZToKICAgIGIgPSBiIC0gMQpwcmludChhLCBiKQo="]],[["text", "Co vypíše program?"],["python64","eCA9IDUKaWYgeCA8IDEwOgogICAgcHJpbnQoImZvbyIpCnByaW50KCJiYXIiKQo="]],[["text", "Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKaWYgYSA8IDQ6CiAgICBiID0gYiArIDEKcHJpbnQoYSwgYikK"]]];rozhodovacka-podmineny-prikaz-1-uroven;;1;0
32;24;1;26;basic;0;;;88;10,106,9,107;;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0c1sicGVhciJdKQo="]],[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0cy5nZXQoInBlYXIiLCAwKSkK"]],[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0c1siYmFuYW5hIl0pCg=="]]];rozhodovacka-slovniky-1-uroven;;1;0
33;17;1;35;basic;1;;52;12;6,7,9,10,11,12,18,19,20,21,23,29,30,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Úpravy programů;;interaktivni-python-upravy-programu;;1;5
