Item: 64 , Answers: 324 , Incorrect: 152 , Percentage:  46.913580246913575
Item: 60 , Answers: 315 , Incorrect: 126 , Percentage:  40.0
Item: 32 , Answers: 565 , Incorrect: 119 , Percentage:  21.061946902654867
Item: 65 , Answers: 331 , Incorrect: 117 , Percentage:  35.34743202416919
Item: 54 , Answers: 656 , Incorrect: 115 , Percentage:  17.53048780487805
Item: 63 , Answers: 1181 , Incorrect: 107 , Percentage:  9.060118543607112
Item: 55 , Answers: 264 , Incorrect: 86 , Percentage:  32.57575757575758
Item: 42 , Answers: 621 , Incorrect: 64 , Percentage:  10.305958132045088
Item: 53 , Answers: 184 , Incorrect: 54 , Percentage:  29.347826086956523
Item: 69 , Answers: 94 , Incorrect: 29 , Percentage:  30.851063829787233
Item: 38 , Answers: 102 , Incorrect: 25 , Percentage:  24.509803921568626
Item: 72 , Answers: 67 , Incorrect: 25 , Percentage:  37.3134328358209
Item: 31 , Answers: 76 , Incorrect: 24 , Percentage:  31.57894736842105
Item: 16 , Answers: 72 , Incorrect: 18 , Percentage:  25.0
Item: 23 , Answers: 75 , Incorrect: 15 , Percentage:  20.0
Item: 30 , Answers: 101 , Incorrect: 14 , Percentage:  13.861386138613863
Item: 66 , Answers: 266 , Incorrect: 12 , Percentage:  4.511278195488721
Item: 18 , Answers: 92 , Incorrect: 10 , Percentage:  10.869565217391305
Item: 51 , Answers: 627 , Incorrect: 10 , Percentage:  1.5948963317384368
Item: 33 , Answers: 490 , Incorrect: 9 , Percentage:  1.8367346938775513
Item: 6 , Answers: 101 , Incorrect: 9 , Percentage:  8.91089108910891
Item: 1 , Answers: 491 , Incorrect: 8 , Percentage:  1.6293279022403258
Item: 9 , Answers: 175 , Incorrect: 8 , Percentage:  4.571428571428571
Item: 22 , Answers: 61 , Incorrect: 7 , Percentage:  11.475409836065573
Item: 28 , Answers: 115 , Incorrect: 7 , Percentage:  6.086956521739131
Item: 37 , Answers: 264 , Incorrect: 7 , Percentage:  2.6515151515151514
Item: 4 , Answers: 157 , Incorrect: 7 , Percentage:  4.45859872611465
Item: 41 , Answers: 330 , Incorrect: 6 , Percentage:  1.8181818181818181
Item: 61 , Answers: 240 , Incorrect: 4 , Percentage:  1.6666666666666667
Item: 12 , Answers: 66 , Incorrect: 3 , Percentage:  4.545454545454546
Item: 39 , Answers: 39 , Incorrect: 3 , Percentage:  7.6923076923076925
Item: 14 , Answers: 93 , Incorrect: 2 , Percentage:  2.1505376344086025
Item: 2 , Answers: 78 , Incorrect: 2 , Percentage:  2.564102564102564
Item: 25 , Answers: 175 , Incorrect: 2 , Percentage:  1.1428571428571428
Item: 3 , Answers: 246 , Incorrect: 2 , Percentage:  0.8130081300813009
Item: 74 , Answers: 9 , Incorrect: 2 , Percentage:  22.22222222222222
Item: 10 , Answers: 91 , Incorrect: 1 , Percentage:  1.098901098901099
Item: 13 , Answers: 45 , Incorrect: 1 , Percentage:  2.2222222222222223
Item: 15 , Answers: 97 , Incorrect: 1 , Percentage:  1.0309278350515463
Item: 19 , Answers: 75 , Incorrect: 1 , Percentage:  1.3333333333333335
Item: 27 , Answers: 61 , Incorrect: 1 , Percentage:  1.639344262295082
Item: 29 , Answers: 63 , Incorrect: 1 , Percentage:  1.5873015873015872
Item: 35 , Answers: 643 , Incorrect: 1 , Percentage:  0.15552099533437014
Item: 45 , Answers: 391 , Incorrect: 1 , Percentage:  0.2557544757033248
Item: 68 , Answers: 200 , Incorrect: 1 , Percentage:  0.5
Item: 7 , Answers: 147 , Incorrect: 1 , Percentage:  0.6802721088435374
Item: 70 , Answers: 57 , Incorrect: 1 , Percentage:  1.7543859649122806
Item: 71 , Answers: 48 , Incorrect: 1 , Percentage:  2.083333333333333
